#{"t_start": 1724336002.7812045, "env_id": "BreakoutNoFrameskip-v4"}
r,l,t
1.0,711,8.683414
4.0,1106,15.175227
1.0,712,19.169307
0.0,530,22.019924
5.0,1321,30.019485
0.0,539,33.034447
2.0,828,38.010091
2.0,902,43.240842
2.0,823,47.950108
5.0,1422,56.316305
1.0,648,59.936578
0.0,532,62.987673
0.0,508,65.954962
3.0,1016,72.212146
0.0,524,75.225406
0.0,508,78.248574
5.0,1426,87.106533
3.0,1012,92.941437
0.0,515,95.879652
3.0,1005,101.875827
5.0,1415,110.403504
2.0,822,115.065168
2.0,833,119.831201
0.0,527,122.735205
0.0,520,125.700124
9.0,1636,135.259753
9.0,1644,145.046762
5.0,1422,153.8386
2.0,827,158.662817
0.0,518,161.628941
0.0,500,164.544229
0.0,541,167.579252
2.0,810,172.406438
0.0,507,175.351519
0.0,536,178.318969
5.0,1311,186.43538
0.0,524,189.291083
2.0,753,193.650249
5.0,1407,202.086732
0.0,541,205.04107
2.0,813,209.771616
9.0,1620,219.348792
13.0,2419,233.303488
11.0,2143,245.910527
13.0,2543,261.110116
9.0,1632,270.875961
0.0,521,273.69952
0.0,529,276.433424
17.0,2949,293.585592
13.0,2220,306.47213
0.0,533,309.298864
14.0,2423,323.47195
9.0,2091,336.017031
0.0,529,338.954904
10.0,1832,349.685272
20.0,2347,363.458936
15.0,2666,379.147557
12.0,2126,391.710423
21.0,2956,409.541821
18.0,2546,424.899311
10.0,1734,435.465412
0.0,537,438.367407
0.0,537,441.241867
3.0,881,446.552486
12.0,2118,459.093021
17.0,2463,473.536095
19.0,2591,488.581634
0.0,525,491.471674
0.0,537,494.284798
16.0,2314,507.924612
0.0,521,510.774574
13.0,2319,524.712708
0.0,541,527.5704
14.0,2052,539.470058
4.0,1087,545.705704
0.0,524,548.614411
0.0,539,551.527078
9.0,1628,561.248462
0.0,531,564.132871
11.0,1936,575.771305
8.0,1717,586.104331
20.0,2341,600.30612
13.0,2162,613.428382
20.0,2309,626.875947
16.0,2513,641.57414
9.0,1990,653.317548
15.0,2285,666.954367
14.0,2190,680.061662
13.0,2554,695.252661
16.0,2531,709.71664
22.0,3106,728.00665
18.0,2234,740.970276
12.0,2267,754.688815
25.0,1738,764.909025
