#{"t_start": 1724336014.0729756, "env_id": "BreakoutNoFrameskip-v4"}
r,l,t
0.0,505,6.594939
2.0,809,10.989757
3.0,1013,16.637415
0.0,542,19.386308
0.0,507,22.109795
3.0,1015,27.817202
0.0,541,30.585065
3.0,920,35.658297
0.0,543,38.452027
3.0,908,43.376145
0.0,509,46.032252
5.0,1486,54.606892
0.0,523,57.445065
0.0,523,60.374012
0.0,531,63.274217
0.0,516,66.169409
1.0,687,70.062411
1.0,651,73.585241
3.0,1034,79.444893
3.0,935,84.819382
5.0,1320,92.387935
1.0,707,96.344334
1.0,705,100.267047
4.0,1078,106.646216
1.0,696,110.627894
1.0,714,114.650187
1.0,640,118.278736
0.0,535,121.090286
0.0,536,123.964293
0.0,527,126.838845
4.0,1210,133.676342
2.0,811,138.436152
2.0,826,143.108047
1.0,624,146.645277
0.0,523,149.542458
0.0,493,152.341421
0.0,527,155.205539
0.0,538,158.151253
0.0,541,161.029041
1.0,718,165.010763
0.0,507,167.937286
3.0,877,173.229531
0.0,521,176.082604
3.0,1008,181.94666
3.0,936,187.329069
5.0,1294,194.892372
2.0,759,199.139044
1.0,649,202.623301
3.0,1088,209.063649
0.0,517,211.727983
0.0,542,214.537045
0.0,524,217.361213
0.0,530,220.147545
2.0,906,225.484
1.0,722,229.499864
1.0,717,233.409028
0.0,535,236.267743
6.0,1504,245.095215
1.0,613,248.540343
0.0,515,251.465298
2.0,810,256.003611
0.0,503,258.704994
0.0,514,261.472596
2.0,924,266.694316
0.0,534,269.462316
0.0,507,272.201067
0.0,541,275.073761
1.0,632,278.613668
9.0,1644,287.956611
0.0,530,290.7913
3.0,1005,296.405104
2.0,838,301.046288
0.0,512,303.826731
4.0,1208,310.935814
4.0,1260,318.243623
0.0,520,321.111617
0.0,508,323.9361
0.0,537,326.766991
0.0,515,329.476126
2.0,792,334.055794
0.0,509,336.972518
3.0,1097,343.283189
2.0,808,347.683909
1.0,718,351.546703
9.0,1640,360.935107
0.0,524,363.783701
4.0,1135,370.057143
0.0,536,372.844865
0.0,514,375.529382
0.0,543,378.207987
0.0,509,380.862657
2.0,743,384.921943
5.0,1404,393.125524
0.0,532,396.109637
10.0,1744,406.418229
3.0,1004,412.234822
3.0,1012,418.081301
0.0,535,420.934862
0.0,514,423.840808
0.0,526,426.743625
0.0,519,429.613003
0.0,532,432.398318
0.0,520,435.099951
0.0,528,437.902871
7.0,1027,443.698156
2.0,826,448.339467
0.0,535,451.177137
0.0,539,453.943537
7.0,1011,459.87043
2.0,901,464.737808
1.0,705,468.379236
1.0,644,471.752784
4.0,1146,478.389419
3.0,1114,484.903012
0.0,531,487.854673
2.0,808,492.436413
2.0,816,497.09985
0.0,533,499.915676
3.0,1030,505.79833
0.0,537,508.708491
2.0,810,513.207758
5.0,1410,521.077089
1.0,636,524.53012
11.0,1099,530.753169
11.0,1087,536.979896
2.0,831,541.500916
2.0,808,545.944299
0.0,532,548.682533
5.0,1430,556.803474
0.0,527,559.572498
1.0,641,563.146039
5.0,1410,571.543741
1.0,644,575.139527
5.0,1398,583.450949
5.0,1418,591.536489
1.0,639,595.129039
4.0,1221,602.098082
3.0,1003,607.793116
0.0,508,610.544399
2.0,825,615.131314
0.0,527,617.845091
3.0,1002,623.617059
1.0,639,626.980546
2.0,825,631.540231
8.0,1510,639.957737
0.0,519,642.824032
4.0,1065,648.999586
2.0,837,653.721103
0.0,516,656.526523
0.0,515,659.358311
4.0,1216,666.270566
2.0,815,670.692625
11.0,1091,676.896235
0.0,516,679.496974
9.0,1644,689.044837
5.0,1410,696.940646
0.0,532,699.769126
2.0,824,704.156799
0.0,539,706.930564
9.0,1620,716.359587
9.0,1620,725.724013
1.0,721,729.613801
9.0,1636,739.118223
1.0,632,742.539418
4.0,1199,749.282521
9.0,1628,758.323611
2.0,821,762.867358
0.0,521,765.688166
