#{"t_start": 1724336007.5677917, "env_id": "BreakoutNoFrameskip-v4"}
r,l,t
1.0,640,8.260896
2.0,817,12.667706
3.0,1106,18.848619
5.0,1391,27.039294
0.0,531,29.774586
3.0,1027,35.614334
0.0,505,38.300236
0.0,508,41.028025
0.0,543,43.704831
0.0,512,46.340845
4.0,1130,52.666274
9.0,1640,100.733394
1.0,695,104.617393
5.0,1396,112.61634
5.0,1196,119.294654
2.0,908,124.393178
3.0,1011,130.105822
3.0,1003,135.827177
0.0,513,138.526117
3.0,1004,182.776911
2.0,741,186.903262
3.0,929,192.045531
5.0,1330,199.205186
10.0,1830,209.395756
3.0,867,213.889167
1.0,640,217.109793
5.0,1414,224.924863
9.0,1564,271.953812
1.0,628,275.195997
2.0,753,279.224931
6.0,1380,286.937361
3.0,845,291.512781
4.0,1229,298.16909
4.0,1195,304.704468
5.0,1263,311.396604
6.0,1444,358.081983
6.0,1360,365.408915
5.0,1190,371.843662
10.0,1534,380.201782
3.0,919,385.186359
12.0,2608,438.421609
5.0,1310,445.48605
14.0,2300,458.087512
23.0,1864,468.27916
16.0,1807,477.998342
6.0,1358,523.707466
10.0,2108,535.281057
23.0,2426,548.384814
12.0,2165,559.99933
14.0,2200,610.856402
8.0,1749,620.529752
17.0,2029,631.287545
13.0,1989,642.015862
8.0,1701,651.126005
17.0,1948,699.709202
20.0,2312,712.14916
9.0,1799,721.90674
17.0,2406,734.982588
12.0,1700,782.167696
19.0,2544,795.384246
20.0,2179,806.576987
19.0,2915,856.248468
15.0,1697,864.580539
17.0,1956,874.43226
19.0,2397,886.380615
26.0,1957,931.300669
34.0,3558,948.964001
16.0,2731,962.447255
21.0,3236,1014.507944
16.0,2733,1028.354872
7.0,1667,1036.712251
11.0,2120,1047.38235
22.0,2731,1096.090925
17.0,1878,1105.49815
11.0,1902,1114.826171
12.0,2181,1125.623477
34.0,2369,1171.761852
30.0,3072,1187.203204
23.0,2948,1201.996326
13.0,2366,1249.228049
25.0,3463,1266.760299
